ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
ONDS,2024-08-13 16:30:00+00:00,2024-08-13 16:30:00+00:00,0.6837,0.6629,-3.549,-70.97,stop,0.1618,0,9929.03,2024-08-13 16:30:00+00:00,2024-08
SMR,2024-08-13 16:30:00+00:00,2024-08-13 17:30:00+00:00,10.1661,9.8562,-3.548,-70.97,stop,0.1614,0,9858.06,2024-08-13 16:30:00+00:00,2024-08
LUMN,2024-08-13 16:30:00+00:00,2024-08-14 13:30:00+00:00,4.6873,5.0598,7.446,148.92,target,0.2495,1,10006.98,2024-08-13 16:30:00+00:00,2024-08
BW,2024-08-13 16:30:00+00:00,2024-08-14 15:30:00+00:00,1.0615,1.0545,-1.165,-23.3,timeout,0.1919,0,10131.55,2024-08-13 16:30:00+00:00,2024-08
WULF,2024-08-13 16:30:00+00:00,2024-08-14 15:30:00+00:00,3.3637,3.3733,-0.214,-4.27,timeout,0.1567,0,10127.27,2024-08-13 16:30:00+00:00,2024-08
RCAT,2024-08-13 17:30:00+00:00,2024-08-14 13:30:00+00:00,2.6814,2.8945,7.446,147.86,target,0.194,1,10154.84,2024-08-13 17:30:00+00:00,2024-08
VSAT,2024-08-13 18:30:00+00:00,2024-08-14 17:30:00+00:00,16.2581,17.18,5.17,101.94,timeout,0.1919,1,10380.44,2024-08-13 18:30:00+00:00,2024-08
CORZ,2024-08-14 14:30:00+00:00,2024-08-15 13:30:00+00:00,8.8894,8.9305,-0.038,-0.77,timeout,0.1919,0,10306.72,2024-08-14 14:30:00+00:00,2024-08
IBRX,2024-08-14 14:30:00+00:00,2024-08-14 15:30:00+00:00,3.5821,3.8667,7.446,151.23,target,0.1919,1,10278.5,2024-08-14 14:30:00+00:00,2024-08
SMR,2024-08-14 16:30:00+00:00,2024-08-14 19:30:00+00:00,9.815,9.5158,-3.548,-72.95,stop,0.1666,0,10307.49,2024-08-14 16:30:00+00:00,2024-08
OUST,2024-08-14 16:30:00+00:00,2024-08-15 13:30:00+00:00,7.949,7.7066,-3.549,-72.95,stop,0.1919,0,10233.78,2024-08-14 16:30:00+00:00,2024-08
MLYS,2024-08-14 16:30:00+00:00,2024-08-15 15:30:00+00:00,9.0745,9.6352,5.678,116.73,timeout,0.1919,1,10203.68,2024-08-14 16:30:00+00:00,2024-08
CLOV,2024-08-14 18:30:00+00:00,2024-08-15 13:30:00+00:00,2.4562,2.3813,-3.549,-73.67,stop,0.2197,0,10160.11,2024-08-14 18:30:00+00:00,2024-08
LUMN,2024-08-15 13:30:00+00:00,2024-08-15 13:30:00+00:00,5.7897,5.6132,-3.548,-73.15,stop,0.1919,0,10086.95,2024-08-15 13:30:00+00:00,2024-08
OUST,2024-08-15 14:30:00+00:00,2024-08-16 13:30:00+00:00,7.8839,7.6436,-3.549,-71.59,stop,0.1415,0,10132.09,2024-08-15 14:30:00+00:00,2024-08
FTRE,2024-08-15 14:30:00+00:00,2024-08-16 13:30:00+00:00,22.6213,22.4288,-1.351,-27.26,timeout,0.1361,0,10104.84,2024-08-15 14:30:00+00:00,2024-08
AVAH,2024-08-15 14:30:00+00:00,2024-08-16 13:30:00+00:00,4.7794,4.9175,2.391,48.23,timeout,0.1334,1,10153.06,2024-08-15 14:30:00+00:00,2024-08
VSAT,2024-08-15 14:30:00+00:00,2024-08-16 13:30:00+00:00,17.0085,17.6512,3.279,66.14,timeout,0.1307,1,10219.21,2024-08-15 14:30:00+00:00,2024-08
CLOV,2024-08-15 16:30:00+00:00,2024-08-16 15:30:00+00:00,2.6563,2.8674,7.446,151.95,target,0.1888,1,10226.11,2024-08-15 16:30:00+00:00,2024-08
AXTI,2024-08-16 14:30:00+00:00,2024-08-16 15:30:00+00:00,2.9135,2.8246,-3.548,-72.53,stop,0.1919,0,10153.58,2024-08-16 14:30:00+00:00,2024-08
BTDR,2024-08-16 14:30:00+00:00,2024-08-19 13:30:00+00:00,6.3132,6.6168,4.31,88.08,timeout,0.194,1,10170.17,2024-08-16 14:30:00+00:00,2024-08
LUNR,2024-08-16 14:30:00+00:00,2024-08-16 14:30:00+00:00,4.231,4.102,-3.548,-72.53,stop,0.1919,0,10146.68,2024-08-16 14:30:00+00:00,2024-08
SGML,2024-08-16 14:30:00+00:00,2024-08-16 14:30:00+00:00,9.6448,9.3508,-3.548,-72.53,stop,0.1645,0,10074.15,2024-08-16 14:30:00+00:00,2024-08
PL,2024-08-16 15:30:00+00:00,2024-08-16 16:30:00+00:00,2.5313,2.4541,-3.548,-71.5,stop,0.2197,0,10082.08,2024-08-16 15:30:00+00:00,2024-08
LUNR,2024-08-16 15:30:00+00:00,2024-08-19 14:30:00+00:00,4.007,4.1423,2.877,57.97,timeout,0.1919,1,10379.34,2024-08-16 15:30:00+00:00,2024-08
TEM,2024-08-16 16:30:00+00:00,2024-08-19 13:30:00+00:00,50.3952,54.3996,7.446,151.21,target,0.1608,1,10321.37,2024-08-16 16:30:00+00:00,2024-08
