etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
NVDS,SHORT,2024-07-31 17:30:00+00:00,2024-07-31 18:30:00+00:00,126.5273,122.6701,-3.549,-28.39,stop,0.0123,0,9971.61,2024-07-31 17:30:00+00:00,2024-07
TSLS,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,1714.857,1809.5948,5.025,40.2,timeout,0.0227,1,10042.73,2024-07-31 17:30:00+00:00,2024-07
AAPD,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,17.298,17.6662,1.628,13.02,timeout,0.0006,1,10055.76,2024-07-31 17:30:00+00:00,2024-07
AMZD,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,14.0864,14.2726,0.821,6.57,timeout,0.0052,1,10062.33,2024-07-31 17:30:00+00:00,2024-07
GGLS,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,13.8171,13.918,0.23,1.84,timeout,0.0011,1,10064.17,2024-07-31 17:30:00+00:00,2024-07
NVDS,SHORT,2024-07-31 19:30:00+00:00,2024-08-01 13:30:00+00:00,125.1626,121.347,-3.548,-28.31,stop,0.0971,0,9943.3,2024-07-31 19:30:00+00:00,2024-07
NVDS,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,124.022,133.8768,7.446,59.23,target,0.0995,1,10002.53,2024-08-01 14:30:00+00:00,2024-08
GGLS,SHORT,2024-08-02 14:30:00+00:00,2024-08-05 14:30:00+00:00,14.2482,14.3828,0.445,3.58,timeout,0.0101,1,10220.9,2024-08-02 14:30:00+00:00,2024-08
AAPD,SHORT,2024-08-02 14:30:00+00:00,2024-08-05 13:30:00+00:00,17.2886,18.6624,7.446,59.95,target,0.0409,1,10098.44,2024-08-02 14:30:00+00:00,2024-08
TSLS,SHORT,2024-08-02 14:30:00+00:00,2024-08-05 13:30:00+00:00,1848.924,1995.8395,7.446,59.95,target,0.0995,1,10038.49,2024-08-02 14:30:00+00:00,2024-08
