etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2025-06-11 14:30:00+00:00,2025-06-12 14:30:00+00:00,108.079,109.8326,1.122,112.25,timeout,0.0191,1,10112.25,2025-06-11 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-12 15:30:00+00:00,2025-06-13 15:30:00+00:00,109.9049,111.2943,0.764,77.28,timeout,0.0073,1,10189.52,2025-06-12 15:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,111.3807,108.8206,-2.799,-285.15,timeout,0.0056,0,9904.37,2025-06-13 16:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-16 17:30:00+00:00,2025-06-17 17:30:00+00:00,108.9044,112.6686,2.956,292.82,timeout,0.0071,1,10197.19,2025-06-16 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-17 18:30:00+00:00,2025-06-18 18:30:00+00:00,112.7924,112.8935,-0.41,-41.84,timeout,0.0065,0,10155.34,2025-06-17 18:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-18 19:30:00+00:00,2025-06-20 19:30:00+00:00,113.0565,114.0929,0.417,42.32,timeout,0.0135,1,10197.67,2025-06-18 19:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-23 13:30:00+00:00,2025-06-23 19:30:00+00:00,113.8569,110.386,-3.549,-361.86,stop,0.013,0,9835.8,2025-06-23 13:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-24 13:30:00+00:00,2025-06-25 13:30:00+00:00,107.5537,104.275,-3.548,-349.02,stop,0.0107,0,9486.78,2025-06-24 13:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-25 14:30:00+00:00,2025-06-26 14:30:00+00:00,103.2191,102.0989,-1.585,-150.39,timeout,0.0204,0,9336.39,2025-06-25 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-26 15:30:00+00:00,2025-06-27 13:30:00+00:00,102.2261,99.1097,-3.549,-331.3,stop,0.0086,0,9005.09,2025-06-26 15:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-27 14:30:00+00:00,2025-06-30 14:30:00+00:00,99.3487,98.8111,-1.041,-93.75,timeout,0.0174,0,8911.34,2025-06-27 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-30 15:30:00+00:00,2025-07-01 15:30:00+00:00,98.8994,100.4987,1.117,99.55,timeout,0.0077,1,9010.89,2025-06-30 15:30:00+00:00,2025-06
SQQQ,SHORT,2025-07-01 16:30:00+00:00,2025-07-02 16:30:00+00:00,100.6003,98.7001,-2.389,-215.25,timeout,0.0197,0,8795.63,2025-07-01 16:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-02 17:30:00+00:00,2025-07-03 13:30:00+00:00,98.7493,95.739,-3.548,-312.11,stop,0.0075,0,8483.52,2025-07-02 17:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-03 14:30:00+00:00,2025-07-07 18:30:00+00:00,95.6738,98.1844,2.124,180.2,timeout,0.0207,1,8663.72,2025-07-03 14:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-07 19:30:00+00:00,2025-07-08 19:30:00+00:00,98.2826,97.6512,-1.142,-98.98,timeout,0.0078,0,8564.73,2025-07-07 19:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-09 13:30:00+00:00,2025-07-10 13:30:00+00:00,96.6233,97.002,-0.108,-9.26,timeout,0.0121,0,8555.48,2025-07-09 13:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-10 14:30:00+00:00,2025-07-11 14:30:00+00:00,97.0985,96.9105,-0.694,-59.34,timeout,0.0224,0,8496.14,2025-07-10 14:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-11 15:30:00+00:00,2025-07-14 15:30:00+00:00,96.9985,96.1009,-1.425,-121.1,timeout,0.0075,0,8375.04,2025-07-11 15:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-14 16:30:00+00:00,2025-07-15 16:30:00+00:00,96.1836,94.7526,-1.988,-166.47,timeout,0.0067,0,8208.56,2025-07-14 16:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-15 17:30:00+00:00,2025-07-16 17:30:00+00:00,94.8734,95.7446,0.418,34.33,timeout,0.0065,1,8242.9,2025-07-15 17:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-16 18:30:00+00:00,2025-07-17 17:30:00+00:00,95.7979,92.8775,-3.548,-292.5,stop,0.0067,0,7950.4,2025-07-16 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-17 18:30:00+00:00,2025-07-18 18:30:00+00:00,93.2216,93.6282,-0.064,-5.08,timeout,0.0065,0,7945.32,2025-07-17 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-18 19:30:00+00:00,2025-07-21 19:30:00+00:00,93.7218,92.1034,-2.227,-176.93,timeout,0.0071,0,7768.39,2025-07-18 19:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-22 13:30:00+00:00,2025-07-23 13:30:00+00:00,92.146,93.877,1.379,107.09,timeout,0.0108,1,7875.48,2025-07-22 13:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-23 14:30:00+00:00,2025-07-24 14:30:00+00:00,93.9635,91.6282,-2.985,-235.11,timeout,0.0204,0,7640.37,2025-07-23 14:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-24 15:30:00+00:00,2025-07-25 15:30:00+00:00,91.7208,90.7306,-1.58,-120.69,timeout,0.0114,0,7519.68,2025-07-24 15:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-25 16:30:00+00:00,2025-07-28 16:30:00+00:00,90.8204,90.6796,-0.655,-49.25,timeout,0.0065,0,7470.43,2025-07-25 16:30:00+00:00,2025-07
