etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
NVDS,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,155.1776,150.447,-3.548,-28.39,stop,0.0777,0,9971.61,2024-08-05 14:30:00+00:00,2024-08
TSLS,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,2005.0021,1943.8796,-3.549,-28.39,stop,0.0777,0,9943.22,2024-08-05 14:30:00+00:00,2024-08
AAPD,SHORT,2024-08-05 14:30:00+00:00,2024-08-06 14:30:00+00:00,18.4434,18.6107,0.407,3.26,timeout,0.0777,1,9890.11,2024-08-05 14:30:00+00:00,2024-08
AMZD,SHORT,2024-08-05 14:30:00+00:00,2024-08-06 14:30:00+00:00,16.2391,15.962,-2.206,-17.65,timeout,0.0777,0,9872.46,2024-08-05 14:30:00+00:00,2024-08
GGLS,SHORT,2024-08-05 14:30:00+00:00,2024-08-06 14:30:00+00:00,14.6323,14.7728,0.46,3.68,timeout,0.0777,1,9876.14,2024-08-05 14:30:00+00:00,2024-08
NVDS,SHORT,2024-08-05 15:30:00+00:00,2024-08-05 15:30:00+00:00,151.8612,147.2317,-3.548,-28.23,stop,0.0711,0,9915.0,2024-08-05 15:30:00+00:00,2024-08
TSLS,SHORT,2024-08-05 15:30:00+00:00,2024-08-06 15:30:00+00:00,1951.9755,1959.9096,-0.094,-0.74,timeout,0.0711,0,9847.33,2024-08-05 15:30:00+00:00,2024-08
NVDS,SHORT,2024-08-05 16:30:00+00:00,2024-08-06 13:30:00+00:00,147.5237,143.0265,-3.548,-28.15,stop,0.0584,0,9886.85,2024-08-05 16:30:00+00:00,2024-08
NVDS,SHORT,2024-08-06 14:30:00+00:00,2024-08-06 14:30:00+00:00,145.3359,140.9054,-3.549,-28.07,stop,0.0895,0,9848.07,2024-08-06 14:30:00+00:00,2024-08
NVDS,SHORT,2024-08-06 15:30:00+00:00,2024-08-06 15:30:00+00:00,144.2614,139.8636,-3.548,-27.96,stop,0.0621,0,9819.37,2024-08-06 15:30:00+00:00,2024-08
AAPD,SHORT,2024-08-06 15:30:00+00:00,2024-08-07 13:30:00+00:00,18.6393,18.0711,-3.548,-27.96,stop,0.0621,0,9791.41,2024-08-06 15:30:00+00:00,2024-08
AMZD,SHORT,2024-08-06 15:30:00+00:00,2024-08-07 15:30:00+00:00,15.8969,15.6722,-1.914,-15.08,timeout,0.0621,0,9776.33,2024-08-06 15:30:00+00:00,2024-08
GGLS,SHORT,2024-08-06 15:30:00+00:00,2024-08-07 15:30:00+00:00,14.7624,14.6127,-1.514,-11.93,timeout,0.0621,0,9764.41,2024-08-06 15:30:00+00:00,2024-08
AMZD,SHORT,2024-08-12 18:30:00+00:00,2024-08-13 18:30:00+00:00,15.5378,15.2674,-2.24,-17.5,timeout,0.0021,0,9671.88,2024-08-12 18:30:00+00:00,2024-08
AAPD,SHORT,2024-08-12 18:30:00+00:00,2024-08-13 18:30:00+00:00,17.7476,17.3913,-2.507,-19.59,timeout,0.0021,0,9689.38,2024-08-12 18:30:00+00:00,2024-08
TSLS,SHORT,2024-08-12 18:30:00+00:00,2024-08-13 13:30:00+00:00,1977.9885,1917.6895,-3.548,-27.72,stop,0.0021,0,9708.97,2024-08-12 18:30:00+00:00,2024-08
NVDS,SHORT,2024-08-12 18:30:00+00:00,2024-08-13 13:30:00+00:00,131.0155,127.0215,-3.549,-27.72,stop,0.0021,0,9736.69,2024-08-12 18:30:00+00:00,2024-08
GGLS,SHORT,2024-08-12 19:30:00+00:00,2024-08-13 19:30:00+00:00,14.5173,14.3428,-1.702,-13.29,timeout,0.0021,0,9658.59,2024-08-12 19:30:00+00:00,2024-08
NVDL,LONG,2024-09-13 14:30:00+00:00,2024-09-16 13:30:00+00:00,55.9584,54.2525,-3.549,-27.42,stop,0.0193,0,9631.17,2024-09-13 14:30:00+00:00,2024-09
TSLL,LONG,2024-09-13 14:30:00+00:00,2024-09-16 13:30:00+00:00,10.6952,10.3692,-3.548,-27.42,stop,0.0193,0,9603.75,2024-09-13 14:30:00+00:00,2024-09
AAPU,LONG,2024-09-13 14:30:00+00:00,2024-09-16 13:30:00+00:00,35.1376,34.0664,-3.549,-27.42,stop,0.0193,0,9576.33,2024-09-13 14:30:00+00:00,2024-09
AMZU,LONG,2024-09-13 14:30:00+00:00,2024-09-16 13:30:00+00:00,33.3016,32.2864,-3.548,-27.42,stop,0.0193,0,9548.91,2024-09-13 14:30:00+00:00,2024-09
GGLL,LONG,2024-09-13 14:30:00+00:00,2024-09-16 14:30:00+00:00,34.046,34.2429,0.078,0.6,timeout,0.0193,1,9549.52,2024-09-13 14:30:00+00:00,2024-09
NVDL,LONG,2024-09-16 14:30:00+00:00,2024-09-17 14:30:00+00:00,54.7274,54.7127,-0.527,-4.02,timeout,0.0228,0,9545.49,2024-09-16 14:30:00+00:00,2024-09
TSLL,LONG,2024-09-16 14:30:00+00:00,2024-09-17 14:30:00+00:00,10.6503,11.0695,3.435,26.24,timeout,0.0228,1,9571.74,2024-09-16 14:30:00+00:00,2024-09
AAPU,LONG,2024-09-16 14:30:00+00:00,2024-09-17 14:30:00+00:00,33.3567,33.1907,-0.998,-7.62,timeout,0.0228,0,9564.12,2024-09-16 14:30:00+00:00,2024-09
AMZU,LONG,2024-09-16 14:30:00+00:00,2024-09-17 14:30:00+00:00,32.2261,33.4932,3.432,26.22,timeout,0.0228,1,9590.33,2024-09-16 14:30:00+00:00,2024-09
GGLL,LONG,2024-09-17 14:30:00+00:00,2024-09-18 14:30:00+00:00,34.8974,34.6926,-1.087,-8.3,timeout,0.018,0,9582.03,2024-09-17 14:30:00+00:00,2024-09
GGLS,SHORT,2024-10-03 18:30:00+00:00,2024-10-04 18:30:00+00:00,14.1171,14.0923,-0.675,-5.17,timeout,0.0021,0,9500.53,2024-10-03 18:30:00+00:00,2024-10
AMZD,SHORT,2024-10-03 18:30:00+00:00,2024-10-04 18:30:00+00:00,14.1047,13.8731,-2.143,-16.42,timeout,0.0021,0,9505.7,2024-10-03 18:30:00+00:00,2024-10
AAPD,SHORT,2024-10-03 18:30:00+00:00,2024-10-04 18:30:00+00:00,17.1174,16.9515,-1.469,-11.26,timeout,0.0021,0,9522.12,2024-10-03 18:30:00+00:00,2024-10
NVDS,SHORT,2024-10-03 18:30:00+00:00,2024-10-04 18:30:00+00:00,103.6118,101.2312,-2.798,-21.45,timeout,0.0021,0,9533.38,2024-10-03 18:30:00+00:00,2024-10
TSLS,SHORT,2024-10-03 18:30:00+00:00,2024-10-04 13:30:00+00:00,1574.797,1526.7893,-3.548,-27.2,stop,0.0021,0,9554.83,2024-10-03 18:30:00+00:00,2024-10
