etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
NVDS,SHORT,2024-07-29 13:30:00+00:00,2024-07-29 13:30:00+00:00,133.5367,129.4659,-3.548,-28.39,stop,0.0087,0,9971.61,2024-07-29 13:30:00+00:00,2024-07
TSLS,SHORT,2024-07-29 13:30:00+00:00,2024-07-29 13:30:00+00:00,1767.8835,1713.9896,-3.548,-28.39,stop,0.0087,0,9943.22,2024-07-29 13:30:00+00:00,2024-07
AAPD,SHORT,2024-07-29 13:30:00+00:00,2024-07-30 13:30:00+00:00,17.7239,17.5512,-1.474,-11.79,timeout,0.0087,0,9931.43,2024-07-29 13:30:00+00:00,2024-07
GGLS,SHORT,2024-07-29 13:30:00+00:00,2024-07-30 13:30:00+00:00,13.9569,13.8131,-1.53,-12.24,timeout,0.0087,0,9919.19,2024-07-29 13:30:00+00:00,2024-07
AMZD,SHORT,2024-07-29 13:30:00+00:00,2024-07-30 14:30:00+00:00,14.2021,14.3514,0.551,4.41,timeout,0.0087,1,9982.83,2024-07-29 13:30:00+00:00,2024-07
NVDS,SHORT,2024-07-29 14:30:00+00:00,2024-07-30 13:30:00+00:00,131.7653,142.2353,7.446,59.23,target,0.0228,1,9978.42,2024-07-29 14:30:00+00:00,2024-07
TSLS,SHORT,2024-07-29 14:30:00+00:00,2024-07-30 14:30:00+00:00,1704.8521,1748.1255,2.038,16.21,timeout,0.0228,1,9999.04,2024-07-29 14:30:00+00:00,2024-07
GGLS,SHORT,2024-07-30 17:30:00+00:00,2024-07-31 17:30:00+00:00,13.8855,13.7531,-1.454,-11.63,timeout,0.0049,0,9848.13,2024-07-30 17:30:00+00:00,2024-07
AAPD,SHORT,2024-07-30 17:30:00+00:00,2024-07-31 17:30:00+00:00,17.739,17.2514,-3.249,-25.99,timeout,0.0049,0,9859.76,2024-07-30 17:30:00+00:00,2024-07
TSLS,SHORT,2024-07-30 17:30:00+00:00,2024-07-31 13:30:00+00:00,1775.8875,1721.7496,-3.548,-28.39,stop,0.0049,0,9942.27,2024-07-30 17:30:00+00:00,2024-07
NVDS,SHORT,2024-07-30 17:30:00+00:00,2024-07-31 13:30:00+00:00,149.1746,144.627,-3.548,-28.39,stop,0.0049,0,9970.66,2024-07-30 17:30:00+00:00,2024-07
AMZD,SHORT,2024-07-30 17:30:00+00:00,2024-07-31 13:30:00+00:00,14.4672,14.0262,-3.548,-28.39,stop,0.0049,0,9913.89,2024-07-30 17:30:00+00:00,2024-07
NVDS,SHORT,2024-07-31 14:30:00+00:00,2024-07-31 15:30:00+00:00,129.2596,125.3191,-3.548,-28.14,stop,0.0188,0,9885.75,2024-07-31 14:30:00+00:00,2024-07
AMZD,SHORT,2024-07-31 14:30:00+00:00,2024-08-01 14:30:00+00:00,13.927,13.983,-0.098,-0.77,timeout,0.0188,0,9806.22,2024-07-31 14:30:00+00:00,2024-07
TSLS,SHORT,2024-07-31 14:30:00+00:00,2024-08-01 14:30:00+00:00,1716.4978,1757.121,1.867,14.8,timeout,0.0188,1,9806.99,2024-07-31 14:30:00+00:00,2024-07
NVDS,SHORT,2024-07-31 16:30:00+00:00,2024-07-31 18:30:00+00:00,126.7278,122.8645,-3.549,-28.06,stop,0.0058,0,9820.07,2024-07-31 16:30:00+00:00,2024-07
