ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
NKTR,2025-06-11 14:30:00+00:00,2025-06-11 15:30:00+00:00,10.3,9.991,-3.0,-60.0,stop,0.1781,0,9940.0,2025-06-11 14:30:00+00:00,2025-06
AGX,2025-06-11 14:30:00+00:00,2025-06-11 16:30:00+00:00,215.11,221.5633,3.0,60.0,target,0.1619,1,10000.0,2025-06-11 14:30:00+00:00,2025-06
INOD,2025-06-11 14:30:00+00:00,2025-06-11 18:30:00+00:00,43.7038,42.3927,-3.0,-60.0,stop,0.1619,0,9880.36,2025-06-11 14:30:00+00:00,2025-06
LQDA,2025-06-11 14:30:00+00:00,2025-06-12 13:30:00+00:00,14.1,14.523,3.0,60.0,target,0.1736,1,9940.36,2025-06-11 14:30:00+00:00,2025-06
APLD,2025-06-11 14:30:00+00:00,2025-06-12 13:30:00+00:00,12.105,12.095,-0.083,-1.65,timeout,0.1619,0,9938.71,2025-06-11 14:30:00+00:00,2025-06
NKTR,2025-06-11 16:30:00+00:00,2025-06-11 17:30:00+00:00,9.69,9.3993,-3.0,-59.64,stop,0.2409,0,9940.36,2025-06-11 16:30:00+00:00,2025-06
NVTS,2025-06-11 17:30:00+00:00,2025-06-12 13:30:00+00:00,7.895,8.1318,3.0,60.0,target,0.2409,1,9998.71,2025-06-11 17:30:00+00:00,2025-06
NKTR,2025-06-11 18:30:00+00:00,2025-06-12 13:30:00+00:00,9.44,9.1568,-3.0,-59.64,stop,0.2409,0,9939.07,2025-06-11 18:30:00+00:00,2025-06
SMR,2025-06-11 19:30:00+00:00,2025-06-12 13:30:00+00:00,40.87,39.6439,-3.0,-59.28,stop,0.2409,0,9879.78,2025-06-11 19:30:00+00:00,2025-06
AMSC,2025-06-12 14:30:00+00:00,2025-06-12 16:30:00+00:00,29.18,30.0554,3.0,59.28,target,0.1736,1,9761.58,2025-06-12 14:30:00+00:00,2025-06
RGTI,2025-06-12 14:30:00+00:00,2025-06-12 15:30:00+00:00,13.03,12.6391,-3.0,-59.28,stop,0.1853,0,9761.23,2025-06-12 14:30:00+00:00,2025-06
NUVB,2025-06-12 14:30:00+00:00,2025-06-12 14:30:00+00:00,2.075,2.0128,-3.0,-59.28,stop,0.1853,0,9820.5,2025-06-12 14:30:00+00:00,2025-06
HYMC,2025-06-12 14:30:00+00:00,2025-06-12 14:30:00+00:00,3.115,3.2085,3.0,59.28,target,0.1853,1,9879.78,2025-06-12 14:30:00+00:00,2025-06
ABCL,2025-06-12 14:30:00+00:00,2025-06-12 14:30:00+00:00,3.2803,3.1819,-3.0,-59.28,stop,0.1853,0,9820.5,2025-06-12 14:30:00+00:00,2025-06
NUVB,2025-06-12 15:30:00+00:00,2025-06-12 15:30:00+00:00,1.965,1.9061,-3.0,-58.92,stop,0.2409,0,9702.3,2025-06-12 15:30:00+00:00,2025-06
ABCL,2025-06-12 15:30:00+00:00,2025-06-12 16:30:00+00:00,3.2012,3.1052,-3.0,-58.92,stop,0.2059,0,9702.66,2025-06-12 15:30:00+00:00,2025-06
HYMC,2025-06-12 15:30:00+00:00,2025-06-12 19:30:00+00:00,3.2001,3.2961,3.0,58.92,target,0.2409,1,9703.37,2025-06-12 15:30:00+00:00,2025-06
AXTI,2025-06-12 16:30:00+00:00,2025-06-12 16:30:00+00:00,2.58,2.5026,-3.0,-58.21,stop,0.2684,0,9644.45,2025-06-12 16:30:00+00:00,2025-06
AMPX,2025-06-12 16:30:00+00:00,2025-06-12 16:30:00+00:00,3.8611,3.9769,3.0,58.21,target,0.2409,1,9702.66,2025-06-12 16:30:00+00:00,2025-06
AXTI,2025-06-12 17:30:00+00:00,2025-06-12 17:30:00+00:00,2.3899,2.4616,3.0,58.22,target,0.1853,1,9760.87,2025-06-12 17:30:00+00:00,2025-06
AMPX,2025-06-12 17:30:00+00:00,2025-06-12 18:30:00+00:00,3.985,3.8654,-3.0,-58.22,stop,0.2409,0,9702.66,2025-06-12 17:30:00+00:00,2025-06
SMR,2025-06-12 17:30:00+00:00,2025-06-12 18:30:00+00:00,42.485,41.2105,-3.0,-58.22,stop,0.2409,0,9644.44,2025-06-12 17:30:00+00:00,2025-06
NKTR,2025-06-12 17:30:00+00:00,2025-06-13 13:30:00+00:00,8.92,8.6524,-3.0,-58.22,stop,0.1853,0,9644.45,2025-06-12 17:30:00+00:00,2025-06
AXTI,2025-06-12 18:30:00+00:00,2025-06-12 19:30:00+00:00,2.43,2.3571,-3.0,-58.57,stop,0.1853,0,9644.8,2025-06-12 18:30:00+00:00,2025-06
SMR,2025-06-12 19:30:00+00:00,2025-06-13 13:30:00+00:00,41.25,40.0125,-3.0,-57.87,stop,0.2059,0,9586.58,2025-06-12 19:30:00+00:00,2025-06
USAR,2025-06-12 19:30:00+00:00,2025-06-12 19:30:00+00:00,14.3085,14.7378,3.0,57.87,target,0.2059,1,9702.67,2025-06-12 19:30:00+00:00,2025-06
OKLO,2025-06-13 13:30:00+00:00,2025-06-13 13:30:00+00:00,61.95,63.8085,3.0,58.22,target,0.1853,1,9644.8,2025-06-13 13:30:00+00:00,2025-06
USAR,2025-06-13 13:30:00+00:00,2025-06-13 13:30:00+00:00,14.11,13.6867,-3.0,-58.22,stop,0.1853,0,9586.58,2025-06-13 13:30:00+00:00,2025-06
HYMC,2025-06-13 13:30:00+00:00,2025-06-13 13:30:00+00:00,3.41,3.3077,-3.0,-58.22,stop,0.1781,0,9528.37,2025-06-13 13:30:00+00:00,2025-06
KOD,2025-06-13 14:30:00+00:00,2025-06-13 17:30:00+00:00,3.69,3.8007,3.0,57.17,target,0.1853,1,9756.36,2025-06-13 14:30:00+00:00,2025-06
NUVB,2025-06-13 14:30:00+00:00,2025-06-13 14:30:00+00:00,1.725,1.7768,3.0,57.17,target,0.1853,1,9585.54,2025-06-13 14:30:00+00:00,2025-06
QUBT,2025-06-13 14:30:00+00:00,2025-06-13 14:30:00+00:00,16.98,17.4894,3.0,57.17,target,0.1781,1,9642.71,2025-06-13 14:30:00+00:00,2025-06
NKTR,2025-06-13 14:30:00+00:00,2025-06-13 15:30:00+00:00,8.275,8.5232,3.0,57.17,target,0.1781,1,9699.88,2025-06-13 14:30:00+00:00,2025-06
HYMC,2025-06-13 14:30:00+00:00,2025-06-13 18:30:00+00:00,3.2099,3.1136,-3.0,-57.17,stop,0.1853,0,9699.19,2025-06-13 14:30:00+00:00,2025-06
MP,2025-06-13 15:30:00+00:00,2025-06-13 15:30:00+00:00,29.77,30.6631,3.0,57.86,target,0.1853,1,9757.74,2025-06-13 15:30:00+00:00,2025-06
FTRE,2025-06-13 15:30:00+00:00,2025-06-16 13:30:00+00:00,6.015,5.8345,-3.0,-57.86,stop,0.1853,0,9641.32,2025-06-13 15:30:00+00:00,2025-06
AXTI,2025-06-13 16:30:00+00:00,2025-06-13 16:30:00+00:00,2.3201,2.2505,-3.0,-58.55,stop,0.1853,0,9699.19,2025-06-13 16:30:00+00:00,2025-06
LWLG,2025-06-13 16:30:00+00:00,2025-06-16 13:30:00+00:00,1.21,1.2463,3.0,58.55,target,0.2063,1,9699.87,2025-06-13 16:30:00+00:00,2025-06
QUBT,2025-06-13 17:30:00+00:00,2025-06-16 13:30:00+00:00,16.8818,17.3883,3.0,58.2,target,0.2059,1,9758.07,2025-06-13 17:30:00+00:00,2025-06
CRML,2025-06-13 18:30:00+00:00,2025-06-13 18:30:00+00:00,1.9601,2.0189,3.0,58.54,target,0.2409,1,9757.73,2025-06-13 18:30:00+00:00,2025-06
NUVB,2025-06-13 19:30:00+00:00,2025-06-16 13:30:00+00:00,1.735,1.683,-3.0,-58.55,stop,0.2409,0,9699.52,2025-06-13 19:30:00+00:00,2025-06
CRML,2025-06-13 19:30:00+00:00,2025-06-13 19:30:00+00:00,2.0815,2.0191,-3.0,-58.55,stop,0.2409,0,9699.18,2025-06-13 19:30:00+00:00,2025-06
CRML,2025-06-16 13:30:00+00:00,2025-06-16 13:30:00+00:00,2.28,2.2116,-3.0,-58.2,stop,0.2409,0,9641.32,2025-06-16 13:30:00+00:00,2025-06
HYMC,2025-06-16 14:30:00+00:00,2025-06-17 13:30:00+00:00,3.01,3.1003,3.0,57.85,target,0.1781,1,9756.67,2025-06-16 14:30:00+00:00,2025-06
FTRE,2025-06-16 14:30:00+00:00,2025-06-17 13:30:00+00:00,5.75,5.9225,3.0,57.85,target,0.1541,1,9814.52,2025-06-16 14:30:00+00:00,2025-06
RUN,2025-06-16 14:30:00+00:00,2025-06-16 14:30:00+00:00,9.565,9.278,-3.0,-57.85,stop,0.1541,0,9583.48,2025-06-16 14:30:00+00:00,2025-06
SRPT,2025-06-16 14:30:00+00:00,2025-06-16 14:30:00+00:00,18.875,19.4413,3.0,57.85,target,0.1389,1,9641.32,2025-06-16 14:30:00+00:00,2025-06
IBRX,2025-06-16 14:30:00+00:00,2025-06-17 13:30:00+00:00,3.1386,3.0444,-3.0,-57.85,stop,0.139,0,9756.67,2025-06-16 14:30:00+00:00,2025-06
