etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2025-06-11 14:30:00+00:00,2025-06-12 14:30:00+00:00,108.079,109.8326,1.122,33.67,timeout,0.0247,1,10033.67,2025-06-11 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-12 15:30:00+00:00,2025-06-13 15:30:00+00:00,109.9049,111.2943,0.764,23.0,timeout,0.0104,1,10056.68,2025-06-12 15:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,111.3807,108.8206,-2.799,-84.43,timeout,0.0064,0,9972.25,2025-06-13 16:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-16 17:30:00+00:00,2025-06-17 17:30:00+00:00,108.9044,112.6686,2.956,88.45,timeout,0.008,1,10060.69,2025-06-16 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-17 18:30:00+00:00,2025-06-18 18:30:00+00:00,112.7924,112.8935,-0.41,-12.38,timeout,0.0078,0,10048.31,2025-06-17 18:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-18 19:30:00+00:00,2025-06-20 19:30:00+00:00,113.0565,114.0929,0.417,12.56,timeout,0.0175,1,10060.87,2025-06-18 19:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-23 13:30:00+00:00,2025-06-23 19:30:00+00:00,113.8569,110.386,-3.549,-107.1,stop,0.0145,0,9953.77,2025-06-23 13:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-24 13:30:00+00:00,2025-06-25 13:30:00+00:00,107.5537,104.275,-3.548,-105.96,stop,0.0129,0,9847.81,2025-06-24 13:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-25 14:30:00+00:00,2025-06-26 14:30:00+00:00,103.2191,102.0989,-1.585,-46.83,timeout,0.0275,0,9800.97,2025-06-25 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-26 15:30:00+00:00,2025-06-27 13:30:00+00:00,102.2261,99.1097,-3.549,-104.34,stop,0.011,0,9696.64,2025-06-26 15:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-27 14:30:00+00:00,2025-06-30 14:30:00+00:00,99.3487,98.8111,-1.041,-30.29,timeout,0.0184,0,9666.35,2025-06-27 14:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-30 15:30:00+00:00,2025-07-01 15:30:00+00:00,98.8994,100.4987,1.117,32.39,timeout,0.011,1,9698.75,2025-06-30 15:30:00+00:00,2025-06
SQQQ,SHORT,2025-07-01 16:30:00+00:00,2025-07-02 16:30:00+00:00,100.6003,98.7001,-2.389,-69.51,timeout,0.0243,0,9629.24,2025-07-01 16:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-02 17:30:00+00:00,2025-07-03 13:30:00+00:00,98.7493,95.739,-3.548,-102.51,stop,0.0086,0,9526.73,2025-07-02 17:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-03 14:30:00+00:00,2025-07-07 18:30:00+00:00,95.6738,98.1844,2.124,60.71,timeout,0.0275,1,9587.44,2025-07-03 14:30:00+00:00,2025-07
