ticker,direction,leverage_etf,entry_time,exit_time,entry,exit,ret_pct,reason,proba,win
BMNR,long,,2025-08-12 19:30:00+00:00,2025-08-13 14:30:00+00:00,62.82,67.8456,8.0,target,0.4144,1
BMNR,long,,2025-11-26 17:30:00+00:00,2025-11-28 15:30:00+00:00,30.405,32.8374,8.0,target,0.5375,1
BMA,long,,2025-04-09 14:30:00+00:00,2025-04-09 15:30:00+00:00,63.66,61.7502,-3.0,stop,0.5371,0
BOKF,long,,2025-04-09 15:30:00+00:00,2025-04-10 16:30:00+00:00,87.14,86.055,-1.245,timeout,0.5553,0
BOKF,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,86.475,93.393,8.0,target,0.5371,1
BRZE,long,,2025-04-08 19:30:00+00:00,2025-04-09 16:30:00+00:00,29.69,32.0652,8.0,target,0.3756,1
BRZE,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,30.11,32.5188,8.0,target,0.5553,1
BRZE,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,29.6,31.968,8.0,target,0.5553,1
BRZE,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,29.67,32.0436,8.0,target,0.5553,1
BTE,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,1.47,1.5876,8.0,target,0.5553,1
BTE,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,1.525,1.647,8.0,target,0.5553,1
BTE,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,1.525,1.647,8.0,target,0.5553,1
BTDR,long,,2024-12-19 17:30:00+00:00,2024-12-19 19:30:00+00:00,18.645,18.0857,-3.0,stop,0.5898,0
BXP,long,,2025-04-08 19:30:00+00:00,2025-04-09 14:30:00+00:00,57.29,55.5713,-3.0,stop,0.5553,0
BXP,long,,2025-04-09 14:30:00+00:00,2025-04-09 17:30:00+00:00,55.28,59.7024,8.0,target,0.5553,1
BXP,long,,2025-04-09 15:30:00+00:00,2025-04-09 17:30:00+00:00,55.175,59.589,8.0,target,0.5553,1
CAR,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,65.54,70.7832,8.0,target,0.4247,1
CE,long,,2025-04-08 19:30:00+00:00,2025-04-09 16:30:00+00:00,37.16,40.1328,8.0,target,0.5553,1
CE,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,37.73,40.7484,8.0,target,0.5553,1
CENX,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,13.2401,14.2993,8.0,target,0.5553,1
CENX,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,13.36,14.4288,8.0,target,0.5553,1
CG,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,34.525,37.287,8.0,target,0.5553,1
CGON,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,15.58,16.8264,8.0,target,0.5553,1
CGON,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,15.28,16.5024,8.0,target,0.5553,1
CIFR,long,,2024-08-05 18:30:00+00:00,2024-08-06 19:30:00+00:00,4.065,3.97,-2.337,timeout,0.5898,0
CIFR,long,,2024-08-05 19:30:00+00:00,2024-08-07 14:30:00+00:00,4.0802,4.14,1.466,timeout,0.5898,1
CLMT,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,7.985,8.6238,8.0,target,0.5898,1
CMPS,long,,2025-04-22 17:30:00+00:00,2025-04-23 14:30:00+00:00,3.525,3.807,8.0,target,0.5898,1
COGT,long,,2025-04-07 18:30:00+00:00,2025-04-08 14:30:00+00:00,4.37,4.7196,8.0,target,0.5898,1
COLB,long,,2025-04-09 14:30:00+00:00,2025-04-09 17:30:00+00:00,20.54,22.1832,8.0,target,0.5553,1
COLB,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,20.23,21.8484,8.0,target,0.5553,1
COLB,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,20.075,21.681,8.0,target,0.52,1
COLD,long,,2025-04-09 15:30:00+00:00,2025-04-09 17:30:00+00:00,17.52,18.9216,8.0,target,0.5553,1
CRBG,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,24.895,26.8866,8.0,target,0.3902,1
CRML,long,,2025-02-19 16:30:00+00:00,2025-02-19 17:30:00+00:00,2.5784,2.501,-3.0,stop,0.5898,0
CRML,long,,2025-02-19 18:30:00+00:00,2025-02-19 19:30:00+00:00,2.725,2.943,8.0,target,0.5898,1
CRML,long,,2025-10-22 17:30:00+00:00,2025-10-23 18:30:00+00:00,14.3,13.871,-3.0,stop,0.5898,0
CRUS,long,,2025-04-08 19:30:00+00:00,2025-04-09 16:30:00+00:00,77.5,83.7,8.0,target,0.5553,1
CRUS,long,,2025-04-09 14:30:00+00:00,2025-04-09 16:30:00+00:00,78.79,85.0932,8.0,target,0.5553,1
CSTM,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,7.46,8.0568,8.0,target,0.5553,1
CSTM,long,,2025-04-09 16:30:00+00:00,2025-04-09 17:30:00+00:00,7.45,8.046,8.0,target,0.5553,1
CTOS,long,,2025-04-07 15:30:00+00:00,2025-04-08 16:30:00+00:00,3.45,3.395,-1.594,timeout,0.5898,0
CTOS,long,,2025-04-07 16:30:00+00:00,2025-04-08 16:30:00+00:00,3.505,3.3999,-3.0,stop,0.5898,0
CRGY,long,,2025-04-09 15:30:00+00:00,2025-04-09 16:30:00+00:00,7.15,7.722,8.0,target,0.5553,1
