etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
NVDS,SHORT,2024-07-31 17:30:00+00:00,2024-07-31 18:30:00+00:00,126.5273,122.6701,-3.549,-28.39,stop,0.0035,0,9971.61,2024-07-31 17:30:00+00:00,2024-07
TSLS,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,1714.857,1809.5948,5.025,40.2,timeout,0.0035,1,10042.73,2024-07-31 17:30:00+00:00,2024-07
AAPD,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,17.298,17.6662,1.628,13.02,timeout,0.0035,1,10055.76,2024-07-31 17:30:00+00:00,2024-07
AMZD,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,14.0864,14.2726,0.821,6.57,timeout,0.0035,1,10062.33,2024-07-31 17:30:00+00:00,2024-07
GGLS,SHORT,2024-07-31 17:30:00+00:00,2024-08-01 17:30:00+00:00,13.8171,13.918,0.23,1.84,timeout,0.0035,1,10064.17,2024-07-31 17:30:00+00:00,2024-07
NVDS,SHORT,2024-07-31 19:30:00+00:00,2024-08-01 13:30:00+00:00,125.1626,121.347,-3.548,-28.31,stop,0.0168,0,9943.3,2024-07-31 19:30:00+00:00,2024-07
NVDS,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,124.022,133.8768,7.446,59.23,target,0.0285,1,10002.53,2024-08-01 14:30:00+00:00,2024-08
NVDS,SHORT,2024-08-02 14:30:00+00:00,2024-08-02 14:30:00+00:00,145.3627,140.9313,-3.549,-28.57,stop,0.0586,0,10035.6,2024-08-02 14:30:00+00:00,2024-08
AMZD,SHORT,2024-08-02 14:30:00+00:00,2024-08-02 15:30:00+00:00,15.9181,15.4328,-3.548,-28.57,stop,0.0586,0,10007.03,2024-08-02 14:30:00+00:00,2024-08
GGLS,SHORT,2024-08-02 14:30:00+00:00,2024-08-05 14:30:00+00:00,14.2482,14.3828,0.445,3.58,timeout,0.0586,1,10220.9,2024-08-02 14:30:00+00:00,2024-08
TSLS,SHORT,2024-08-02 14:30:00+00:00,2024-08-05 13:30:00+00:00,1848.924,1995.8395,7.446,59.95,target,0.0586,1,10038.49,2024-08-02 14:30:00+00:00,2024-08
AAPD,SHORT,2024-08-02 14:30:00+00:00,2024-08-05 13:30:00+00:00,17.2886,18.6624,7.446,59.95,target,0.0586,1,10098.44,2024-08-02 14:30:00+00:00,2024-08
NVDS,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 15:30:00+00:00,141.3463,137.0374,-3.548,-28.49,stop,0.0268,0,9978.54,2024-08-02 15:30:00+00:00,2024-08
AMZD,SHORT,2024-08-02 16:30:00+00:00,2024-08-05 13:30:00+00:00,15.5178,16.7508,7.446,59.44,target,0.0228,1,10217.32,2024-08-02 16:30:00+00:00,2024-08
NVDS,SHORT,2024-08-02 16:30:00+00:00,2024-08-05 13:30:00+00:00,139.2639,150.3298,7.446,59.44,target,0.0228,1,10157.88,2024-08-02 16:30:00+00:00,2024-08
AMZD,SHORT,2024-08-05 14:30:00+00:00,2024-08-06 14:30:00+00:00,16.2391,15.962,-2.206,-18.03,timeout,0.0777,0,10090.56,2024-08-05 14:30:00+00:00,2024-08
NVDS,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,155.1776,150.447,-3.548,-29.0,stop,0.0777,0,10191.9,2024-08-05 14:30:00+00:00,2024-08
TSLS,SHORT,2024-08-05 14:30:00+00:00,2024-08-05 14:30:00+00:00,2005.0021,1943.8796,-3.549,-29.0,stop,0.0777,0,10162.89,2024-08-05 14:30:00+00:00,2024-08
AAPD,SHORT,2024-08-05 14:30:00+00:00,2024-08-06 14:30:00+00:00,18.4434,18.6107,0.407,3.33,timeout,0.0777,1,10108.6,2024-08-05 14:30:00+00:00,2024-08
TSLS,SHORT,2024-08-05 15:30:00+00:00,2024-08-06 15:30:00+00:00,1951.9755,1959.9096,-0.094,-0.76,timeout,0.0711,0,10061.12,2024-08-05 15:30:00+00:00,2024-08
GGLS,SHORT,2024-08-05 15:30:00+00:00,2024-08-06 15:30:00+00:00,14.4679,14.7326,1.33,10.81,timeout,0.0711,1,10071.93,2024-08-05 15:30:00+00:00,2024-08
NVDS,SHORT,2024-08-05 15:30:00+00:00,2024-08-05 15:30:00+00:00,151.8612,147.2317,-3.548,-28.85,stop,0.0711,0,10134.04,2024-08-05 15:30:00+00:00,2024-08
NVDS,SHORT,2024-08-05 16:30:00+00:00,2024-08-06 13:30:00+00:00,147.5237,143.0265,-3.548,-28.77,stop,0.0584,0,10105.27,2024-08-05 16:30:00+00:00,2024-08
NVDS,SHORT,2024-08-06 14:30:00+00:00,2024-08-06 14:30:00+00:00,145.3359,140.9054,-3.549,-28.69,stop,0.0895,0,10061.88,2024-08-06 14:30:00+00:00,2024-08
NVDS,SHORT,2024-08-06 15:30:00+00:00,2024-08-06 15:30:00+00:00,144.2614,139.8636,-3.548,-28.56,stop,0.0621,0,10043.36,2024-08-06 15:30:00+00:00,2024-08
AAPD,SHORT,2024-08-06 15:30:00+00:00,2024-08-07 13:30:00+00:00,18.6393,18.0711,-3.548,-28.56,stop,0.0621,0,9986.29,2024-08-06 15:30:00+00:00,2024-08
AMZD,SHORT,2024-08-06 15:30:00+00:00,2024-08-07 15:30:00+00:00,15.8969,15.6722,-1.914,-15.41,timeout,0.0621,0,9970.88,2024-08-06 15:30:00+00:00,2024-08
NVDS,SHORT,2024-08-06 16:30:00+00:00,2024-08-06 17:30:00+00:00,140.6803,136.3917,-3.549,-28.51,stop,0.0199,0,10014.85,2024-08-06 16:30:00+00:00,2024-08
TSLS,SHORT,2024-08-06 16:30:00+00:00,2024-08-07 16:30:00+00:00,1961.9805,2003.9974,1.642,13.19,timeout,0.0199,1,9984.07,2024-08-06 16:30:00+00:00,2024-08
