ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
NKTR,2025-06-11 14:30:00+00:00,2025-06-11 15:30:00+00:00,10.3052,9.991,-3.549,-70.97,stop,0.1781,0,9929.03,2025-06-11 14:30:00+00:00,2025-06
INOD,2025-06-11 14:30:00+00:00,2025-06-11 18:30:00+00:00,43.7257,42.3927,-3.548,-70.97,stop,0.1619,0,9787.59,2025-06-11 14:30:00+00:00,2025-06
LQDA,2025-06-11 14:30:00+00:00,2025-06-12 13:30:00+00:00,14.1071,14.5227,2.447,48.93,timeout,0.1736,1,9836.53,2025-06-11 14:30:00+00:00,2025-06
AGX,2025-06-11 14:30:00+00:00,2025-06-12 13:30:00+00:00,215.2176,220.3943,1.905,38.11,timeout,0.1619,1,9874.63,2025-06-11 14:30:00+00:00,2025-06
APLD,2025-06-11 14:30:00+00:00,2025-06-12 13:30:00+00:00,12.1111,12.089,-0.682,-13.65,timeout,0.1619,0,9860.98,2025-06-11 14:30:00+00:00,2025-06
NKTR,2025-06-11 16:30:00+00:00,2025-06-11 17:30:00+00:00,9.6948,9.3993,-3.548,-70.47,stop,0.2409,0,9858.56,2025-06-11 16:30:00+00:00,2025-06
NKTR,2025-06-11 18:30:00+00:00,2025-06-12 13:30:00+00:00,9.4447,9.1568,-3.549,-69.97,stop,0.2409,0,9791.02,2025-06-11 18:30:00+00:00,2025-06
SMR,2025-06-11 19:30:00+00:00,2025-06-12 13:30:00+00:00,40.8904,39.6439,-3.549,-69.46,stop,0.2409,0,9721.56,2025-06-11 19:30:00+00:00,2025-06
AMSC,2025-06-12 14:30:00+00:00,2025-06-13 13:30:00+00:00,29.1946,28.3046,-3.548,-68.99,stop,0.1736,0,9321.2,2025-06-12 14:30:00+00:00,2025-06
HYMC,2025-06-12 14:30:00+00:00,2025-06-12 19:30:00+00:00,3.1166,3.3642,7.446,144.77,target,0.1853,1,9390.19,2025-06-12 14:30:00+00:00,2025-06
NUVB,2025-06-12 14:30:00+00:00,2025-06-12 14:30:00+00:00,2.076,2.0127,-3.549,-68.99,stop,0.1853,0,9583.57,2025-06-12 14:30:00+00:00,2025-06
ABCL,2025-06-12 14:30:00+00:00,2025-06-12 14:30:00+00:00,3.2819,3.1819,-3.548,-68.99,stop,0.1853,0,9652.56,2025-06-12 14:30:00+00:00,2025-06
RGTI,2025-06-12 14:30:00+00:00,2025-06-12 15:30:00+00:00,13.0365,12.6391,-3.549,-68.99,stop,0.1853,0,9514.57,2025-06-12 14:30:00+00:00,2025-06
NUVB,2025-06-12 15:30:00+00:00,2025-06-12 15:30:00+00:00,1.966,1.906,-3.548,-68.01,stop,0.2409,0,9446.56,2025-06-12 15:30:00+00:00,2025-06
ABCL,2025-06-12 15:30:00+00:00,2025-06-12 16:30:00+00:00,3.2028,3.1052,-3.548,-68.01,stop,0.2059,0,9378.54,2025-06-12 15:30:00+00:00,2025-06
AXTI,2025-06-12 16:30:00+00:00,2025-06-12 16:30:00+00:00,2.5813,2.5026,-3.548,-67.04,stop,0.2684,0,9311.5,2025-06-12 16:30:00+00:00,2025-06
AMPX,2025-06-12 16:30:00+00:00,2025-06-13 13:30:00+00:00,3.863,3.7453,-3.548,-67.04,stop,0.2409,0,9254.16,2025-06-12 16:30:00+00:00,2025-06
SMR,2025-06-12 17:30:00+00:00,2025-06-12 18:30:00+00:00,42.5062,41.2104,-3.549,-66.08,stop,0.2409,0,9245.42,2025-06-12 17:30:00+00:00,2025-06
AXTI,2025-06-12 17:30:00+00:00,2025-06-13 13:30:00+00:00,2.3911,2.3182,-3.548,-66.08,stop,0.1853,0,9188.07,2025-06-12 17:30:00+00:00,2025-06
SMR,2025-06-12 19:30:00+00:00,2025-06-13 13:30:00+00:00,41.2706,40.0125,-3.548,-65.61,stop,0.2059,0,9122.46,2025-06-12 19:30:00+00:00,2025-06
OKLO,2025-06-13 13:30:00+00:00,2025-06-13 19:30:00+00:00,61.981,63.5882,2.093,39.31,timeout,0.1853,1,9232.88,2025-06-13 13:30:00+00:00,2025-06
HYMC,2025-06-13 14:30:00+00:00,2025-06-13 18:30:00+00:00,3.2115,3.1136,-3.548,-64.74,stop,0.1853,0,9193.57,2025-06-13 14:30:00+00:00,2025-06
KOD,2025-06-13 14:30:00+00:00,2025-06-16 13:30:00+00:00,3.6918,3.9852,7.446,135.85,target,0.1853,1,9303.48,2025-06-13 14:30:00+00:00,2025-06
NUVB,2025-06-13 14:30:00+00:00,2025-06-16 13:30:00+00:00,1.7259,1.6732,-3.549,-64.74,stop,0.1853,0,9238.74,2025-06-13 14:30:00+00:00,2025-06
NKTR,2025-06-13 14:30:00+00:00,2025-06-13 15:30:00+00:00,8.2791,8.937,7.446,135.85,target,0.1781,1,9258.31,2025-06-13 14:30:00+00:00,2025-06
LWLG,2025-06-13 16:30:00+00:00,2025-06-16 14:30:00+00:00,1.2106,1.3068,7.446,137.87,target,0.2063,1,9246.49,2025-06-13 16:30:00+00:00,2025-06
CRML,2025-06-13 19:30:00+00:00,2025-06-13 19:30:00+00:00,2.0825,2.0191,-3.549,-65.25,stop,0.2409,0,9167.63,2025-06-13 19:30:00+00:00,2025-06
CRML,2025-06-16 13:30:00+00:00,2025-06-16 13:30:00+00:00,2.2811,2.2116,-3.548,-65.06,stop,0.2409,0,9173.68,2025-06-16 13:30:00+00:00,2025-06
