etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
NVDS,SHORT,2024-08-01 14:30:00+00:00,2024-08-01 16:30:00+00:00,124.022,133.8768,7.446,59.57,target,0.0285,1,10059.57,2024-08-01 14:30:00+00:00,2024-08
AMZD,SHORT,2024-08-01 14:30:00+00:00,2024-08-02 13:30:00+00:00,13.952,15.0606,7.446,59.57,target,0.0285,1,10119.14,2024-08-01 14:30:00+00:00,2024-08
TSLS,SHORT,2024-08-01 14:30:00+00:00,2024-08-02 14:30:00+00:00,1744.872,1883.5195,7.446,59.57,target,0.0285,1,10178.7,2024-08-01 14:30:00+00:00,2024-08
AAPD,SHORT,2024-08-01 14:30:00+00:00,2024-08-02 14:30:00+00:00,17.4087,17.2913,-1.174,-9.39,timeout,0.0285,0,10169.31,2024-08-01 14:30:00+00:00,2024-08
GGLS,SHORT,2024-08-01 14:30:00+00:00,2024-08-02 14:30:00+00:00,13.6657,14.1929,3.358,26.86,timeout,0.0285,1,10196.17,2024-08-01 14:30:00+00:00,2024-08
GGLS,SHORT,2024-08-02 15:30:00+00:00,2024-08-05 15:30:00+00:00,14.1671,14.4338,1.383,11.28,timeout,0.0268,1,10362.17,2024-08-02 15:30:00+00:00,2024-08
AAPD,SHORT,2024-08-02 15:30:00+00:00,2024-08-05 13:30:00+00:00,17.3086,18.684,7.446,60.74,target,0.0268,1,10288.7,2024-08-02 15:30:00+00:00,2024-08
AMZD,SHORT,2024-08-02 15:30:00+00:00,2024-08-05 13:30:00+00:00,15.4977,16.7292,7.446,60.74,target,0.0268,1,10349.44,2024-08-02 15:30:00+00:00,2024-08
NVDS,SHORT,2024-08-02 15:30:00+00:00,2024-08-02 15:30:00+00:00,141.3463,137.0374,-3.548,-28.94,stop,0.0268,0,10167.23,2024-08-02 15:30:00+00:00,2024-08
TSLS,SHORT,2024-08-02 15:30:00+00:00,2024-08-05 13:30:00+00:00,1884.942,2034.7195,7.446,60.74,target,0.0268,1,10227.96,2024-08-02 15:30:00+00:00,2024-08
