etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,111.3807,108.8206,-2.799,-22.39,timeout,0.0064,0,9977.61,2025-06-13 16:30:00+00:00,2025-06
SPXS,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,51.8259,51.0245,-2.046,-16.37,timeout,0.0064,0,9961.24,2025-06-13 16:30:00+00:00,2025-06
SPXU,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,74.2235,73.2034,-1.874,-15.0,timeout,0.0064,0,9946.25,2025-06-13 16:30:00+00:00,2025-06
SDOW,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,46.6033,46.1469,-1.479,-11.83,timeout,0.0064,0,9934.41,2025-06-13 16:30:00+00:00,2025-06
SMDD,SHORT,2025-06-13 17:30:00+00:00,2025-06-16 19:30:00+00:00,17.0185,16.7416,-2.127,-17.02,timeout,0.0064,0,9917.4,2025-06-13 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-16 18:30:00+00:00,2025-06-17 18:30:00+00:00,109.2796,111.895,1.893,15.05,timeout,0.0064,1,9932.44,2025-06-16 18:30:00+00:00,2025-06
SPXS,SHORT,2025-06-16 18:30:00+00:00,2025-06-17 18:30:00+00:00,51.3257,52.3738,1.542,12.26,timeout,0.0064,1,9944.7,2025-06-16 18:30:00+00:00,2025-06
SPXU,SHORT,2025-06-16 18:30:00+00:00,2025-06-17 18:30:00+00:00,73.5968,75.1224,1.573,12.5,timeout,0.0064,1,9957.2,2025-06-16 18:30:00+00:00,2025-06
SDOW,SHORT,2025-06-16 18:30:00+00:00,2025-06-17 18:30:00+00:00,46.4432,47.3913,1.541,12.25,timeout,0.0064,1,9969.45,2025-06-16 18:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-17 19:30:00+00:00,2025-06-18 19:30:00+00:00,112.006,112.4937,-0.065,-0.51,timeout,0.0074,0,9968.94,2025-06-17 19:30:00+00:00,2025-06
SPXS,SHORT,2025-06-17 19:30:00+00:00,2025-06-18 19:30:00+00:00,52.4262,52.6237,-0.123,-0.98,timeout,0.0074,0,9967.95,2025-06-17 19:30:00+00:00,2025-06
SPXU,SHORT,2025-06-17 19:30:00+00:00,2025-06-18 19:30:00+00:00,75.1976,75.4822,-0.121,-0.97,timeout,0.0074,0,9966.98,2025-06-17 19:30:00+00:00,2025-06
SDOW,SHORT,2025-06-17 19:30:00+00:00,2025-06-18 19:30:00+00:00,47.4337,47.6262,-0.094,-0.75,timeout,0.0074,0,9966.23,2025-06-17 19:30:00+00:00,2025-06
SMDD,SHORT,2025-06-17 19:30:00+00:00,2025-06-20 13:30:00+00:00,17.0995,16.8016,-2.242,-17.88,timeout,0.0074,0,9948.35,2025-06-17 19:30:00+00:00,2025-06
SMDD,SHORT,2025-06-20 17:30:00+00:00,2025-06-23 18:30:00+00:00,17.1076,16.7416,-2.639,-21.0,timeout,0.007,0,9827.14,2025-06-20 17:30:00+00:00,2025-06
SDOW,SHORT,2025-06-20 17:30:00+00:00,2025-06-23 17:30:00+00:00,47.8439,46.6367,-3.023,-24.06,timeout,0.007,0,9848.14,2025-06-20 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-20 17:30:00+00:00,2025-06-23 14:30:00+00:00,114.9314,111.4278,-3.548,-28.24,stop,0.007,0,9920.11,2025-06-20 17:30:00+00:00,2025-06
SPXS,SHORT,2025-06-20 17:30:00+00:00,2025-06-23 17:30:00+00:00,53.3266,51.986,-3.014,-23.99,timeout,0.007,0,9896.12,2025-06-20 17:30:00+00:00,2025-06
