etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2025-06-13 16:30:00+00:00,2025-06-16 16:30:00+00:00,111.3807,108.8206,-2.799,-83.96,timeout,0.0064,0,9916.04,2025-06-13 16:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-16 18:30:00+00:00,2025-06-17 18:30:00+00:00,109.2796,111.895,1.893,56.32,timeout,0.0064,1,9972.37,2025-06-16 18:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-17 19:30:00+00:00,2025-06-18 19:30:00+00:00,112.006,112.4937,-0.065,-1.93,timeout,0.0074,0,9970.44,2025-06-17 19:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-20 17:30:00+00:00,2025-06-23 14:30:00+00:00,114.9314,111.4278,-3.548,-106.14,stop,0.007,0,9864.3,2025-06-20 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-24 17:30:00+00:00,2025-06-25 13:30:00+00:00,105.953,102.723,-3.548,-105.01,stop,0.0063,0,9759.29,2025-06-24 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-25 17:30:00+00:00,2025-06-26 17:30:00+00:00,103.7018,100.5405,-3.548,-103.89,stop,0.0069,0,9655.39,2025-06-25 17:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-26 18:30:00+00:00,2025-06-27 18:30:00+00:00,100.7253,100.7996,-0.426,-12.35,timeout,0.0061,0,9643.05,2025-06-26 18:30:00+00:00,2025-06
SQQQ,SHORT,2025-06-30 17:30:00+00:00,2025-07-01 17:30:00+00:00,98.6493,99.935,0.803,23.24,timeout,0.0063,1,9666.28,2025-06-30 17:30:00+00:00,2025-06
TQQQ,LONG,2025-07-10 14:30:00+00:00,2025-07-11 14:30:00+00:00,41.7959,41.8191,-0.445,-12.89,timeout,0.0345,0,9653.39,2025-07-10 14:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-11 16:30:00+00:00,2025-07-14 16:30:00+00:00,96.4832,95.6527,-1.361,-39.41,timeout,0.007,0,9613.98,2025-07-11 16:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-14 17:30:00+00:00,2025-07-15 17:30:00+00:00,95.7594,94.2523,-2.074,-59.81,timeout,0.0069,0,9554.17,2025-07-14 17:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-16 18:30:00+00:00,2025-07-17 17:30:00+00:00,95.7979,92.8775,-3.548,-101.71,stop,0.007,0,9452.46,2025-07-16 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-17 18:30:00+00:00,2025-07-18 18:30:00+00:00,93.2216,93.6282,-0.064,-1.81,timeout,0.0075,0,9450.65,2025-07-17 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-21 17:30:00+00:00,2025-07-22 17:30:00+00:00,91.2956,93.6007,2.025,57.41,timeout,0.0053,1,9508.06,2025-07-21 17:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-22 18:30:00+00:00,2025-07-23 18:30:00+00:00,93.6968,92.6776,-1.588,-45.29,timeout,0.007,0,9462.77,2025-07-22 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-24 18:30:00+00:00,2025-07-25 18:30:00+00:00,91.3457,91.0544,-0.819,-23.24,timeout,0.0071,0,9439.53,2025-07-24 18:30:00+00:00,2025-07
SQQQ,SHORT,2025-07-25 19:30:00+00:00,2025-07-28 19:30:00+00:00,91.1195,90.3553,-1.339,-37.91,timeout,0.0055,0,9401.62,2025-07-25 19:30:00+00:00,2025-07
TQQQ,LONG,2025-08-01 14:30:00+00:00,2025-08-04 14:30:00+00:00,42.066,43.2309,2.269,64.0,timeout,0.0514,1,9465.62,2025-08-01 14:30:00+00:00,2025-08
TQQQ,LONG,2025-08-07 14:30:00+00:00,2025-08-08 14:30:00+00:00,45.2476,45.7948,0.709,20.15,timeout,0.043,1,9485.76,2025-08-07 14:30:00+00:00,2025-08
TQQQ,LONG,2025-08-11 14:30:00+00:00,2025-08-12 14:30:00+00:00,46.3407,46.7566,0.398,11.31,timeout,0.0342,1,9497.08,2025-08-11 14:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-12 17:30:00+00:00,2025-08-13 17:30:00+00:00,85.5427,85.0,-1.135,-32.32,timeout,0.0072,0,9464.75,2025-08-12 17:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-14 17:30:00+00:00,2025-08-15 17:30:00+00:00,84.5848,86.1219,1.317,37.4,timeout,0.0075,1,9502.16,2025-08-14 17:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-18 17:30:00+00:00,2025-08-19 17:30:00+00:00,86.8184,89.905,3.055,87.1,timeout,0.0045,1,9589.25,2025-08-18 17:30:00+00:00,2025-08
